Local, Out-upper, In-lower, Out-upper-impure, In-lower-impure, Out-jitter, In-jitter
1014238849216532, , , 1601330838872372022, 1601330838836725060, 3927281, 192727
1014239885183184, , , 1601330838868444741, 1601330838836532333, 3927281, 192727
1014240917438759, 1601330838870185863, 1601330838836780521, , , 1448887, 1577
1014241951202921, 1601330838871634750, 1601330838836778944, , , 1448887, 1577
1014242986263549, 1601330838869383951, 1601330838836879249, , , 794910, 336668
1014244018997503, 1601330838868589041, 1601330838836542581, , , 794910, 336668
1014245051511916, , , 1601330838868181601, 1601330838836833910, 4329686, 68060
1014246083059206, , , 1601330838872511287, 1601330838836765850, 4329686, 68060
1014247119085664, , , 1601330838872613076, 1601330838836923111, 2434631, 223792
1014248154962460, , , 1601330838870178445, 1601330838836699319, 2434631, 223792
1014249189004773, 1601330838868568462, 1601330838836493764, , , 1569425, 129208
1014250221511294, 1601330838870137887, 1601330838836622972, , , 1569425, 129208
1014251255592815, 1601330838870006371, 1601330838836399566, , , 1811015, 406501
1014252289390794, 1601330838868195356, 1601330838836806067, , , 1811015, 406501
1014253321233996, 1601330838872350186, 1601330838836313674, , , 273601, 434960
1014254357639343, 1601330838872076585, 1601330838836748634, , , 273601, 434960
1014255393456626, , , 1601330838872191984, 1601330838836725484, 1888772, 8978188
1014256429341473, , , 1601330838870303212, 1601330838827747296, 1888772, 8978188
1014257472391768, 1601330838869215065, 1601330838836475080, , , 1062008, 123727
1014258505390180, 1601330838870277073, 1601330838836598807, , , 1062008, 123727
1014259539440183, , , 1601330838870152729, 1601330838836676143, 8548496, 61136
1014260573268401, , , 1601330838878701225, 1601330838836615007, 8548496, 61136
1014261615654829, 1601330838870337114, 1601330838836897445, , , 1748468, 422014
1014262649508185, 1601330838872085582, 1601330838836475431, , , 1748468, 422014
1014263685652250, 1601330838871998143, 1601330838836613972, , , 1823707, 139612
1014264721423971, 1601330838870174436, 1601330838836474360, , , 1823707, 139612
1014265755350001, , , 1601330838868647388, 1601330838837071404, 2325638, 532697
1014266787287002, , , 1601330838870973026, 1601330838836538707, 2325638, 532697
1014267822186720, , , 1601330838869420153, 1601330838836568638, 3112597, 92647
1014268855156089, , , 1601330838872532750, 1601330838836475991, 3112597, 92647
1014269891676217, , , 1601330838870230683, 1601330838836678014, 2177629, 270695
1014270925406729, , , 1601330838872408312, 1601330838836948709, 2177629, 270695
1014271961290371, , , 1601330838870268359, 1601330838837002537, 2625523, 204872
1014272994755285, , , 1601330838872893882, 1601330838836797665, 2625523, 204872
1014274031249069, , , 1601330838872314338, 1601330838836871508, 3552212, 250749
1014275066875990, , , 1601330838868762126, 1601330838836620759, 3552212, 250749
1014276099479941, 1601330838868084639, 1601330838836511459, , , 454468, 318846
1014277131423399, 1601330838868539107, 1601330838836830305, , , 454468, 318846
1014278163512284, , , 1601330838870094544, 1601330838835861502, 2310970, 983868
1014279197839192, , , 1601330838867783574, 1601330838836845370, 2310970, 983868
1014280229296255, 1601330838872279597, 1601330838836559168, , , 1736880, 441030
1014281265186638, 1601330838870542717, 1601330838837000198, , , 1736880, 441030
1014282299020047, 1601330838869601640, 1601330838836769277, , , 125864, 44898
1014283332180998, 1601330838869475776, 1601330838836724379, , , 125864, 44898
1014284365245220, , , 1601330838872313996, 1601330838836905502, 3281974, 350400
1014285401015200, , , 1601330838869032022, 1601330838836555102, 3281974, 350400
1014286434068233, , , 1601330838869588812, 1601330838836441049, 2567333, 73935
1014287467445314, , , 1601330838872156145, 1601330838836514984, 2567333, 73935
1014288503608015, 1601330838870106968, 1601330838836567675, , , 1959454, 28356
1014289537490798, 1601330838868147514, 1601330838836596031, , , 1959454, 28356
1014290569535256, 1601330838870054565, 1601330838836736119, , , 1453282, 196174
1014291603109217, 1601330838868601283, 1601330838836932293, , , 1453282, 196174
1014292635060532, 1601330838872523144, 1601330838836162929, , , 401463, 443039
1014293671719789, 1601330838872924607, 1601330838836605968, , , 401463, 443039
1014294708329816, 1601330838869272537, 1601330838837022202, , , 1295800, 220914
1014295741002167, 1601330838870568337, 1601330838836801288, , , 1295800, 220914
1014296775178034, 1601330838870476350, 1601330838835816867, , , 1261301, 1291215
1014297809970413, 1601330838871737651, 1601330838837108082, , , 1261301, 1291215
